"","year","county","municip_number","municip","production_final","feed_kg","efcr_region","reference_efcr","efcr_score","prop_below_lice","lice_score","proportion_biomass_bad_momb","momb_score","mean_sustain_score","seaarea","prod_area","maxprod_area","prod_prop_area","aqua_score_area"
"325",2007,"Troms",1931,"Lenvik",1688515.04976,1415500,1.38309255533183,1.37651251017426,0.995242512778917,1,1,NA,0.803792623521225,0.928305617354247,702.95,2402.04146775731,135874.461723506,0.0176783881039048,1.64109469826234
"326",2008,"Troms",1931,"Lenvik",6343303.92608,6117555,1.38507178070716,1.28814565946673,0.930020867805897,1,1,NA,0.803792623521225,0.907567432758111,702.95,9023.833737933,164736.639884867,0.0547773327429749,4.97141232508786
"327",2009,"Troms",1931,"Lenvik",4955299.48888,5794339,1.37566470803413,1.24147946044329,0.902457883227525,1,1,NA,0.803792623521225,0.898511527113378,702.95,7049.2915411907,181971.835391191,0.0387383658907249,3.4806868294352
"328",2010,"Troms",1931,"Lenvik",2910738.94072,4317062,1.27685660916767,1.27685660916767,1,1,1,NA,0.803792623521225,0.929782437843156,702.95,4140.74819079593,88338.494172657,0.0468736560383615,4.35823021819694
"329",2011,"Troms",1931,"Lenvik",6697635.82616,9863448,1.29053062695158,1.29053062695158,1,0.977272727272727,0.977272727272727,0,0.803792623521225,0.922684585180034,702.95,9527.89789623728,121986.97818055,0.0781058604643465,7.20670734626752
"330",2012,"Troms",1931,"Lenvik",6614727.79064,6372602,1.26235960493737,1.26235960493737,1,NA,0.978216677195018,0.25,0.916666666666667,0.964307402395629,702.95,9409.95489101643,125686.780826335,0.074868294256167,7.2196050355956
"331",2013,"Troms",1931,"Lenvik",7866369.78136,8822258,1.19861379343724,1.19861379343724,1,0.946944444444444,0.946944444444444,0,0.694444444444445,0.869602279407553,702.95,11190.5111051426,188225.773299608,0.0594525973195508,5.17001141457807
"332",2014,"Troms",1931,"Lenvik",11623165.63256,10846978,1.15775147187438,1.15775147187438,1,0.918384308510638,0.918384308510638,0.666666666666667,0.728543261424263,0.874634491960688,702.95,16534.8397931005,113206.377398058,0.146059260733699,12.7748467307972
"333",2015,"Troms",1931,"Lenvik",21408580.96224,19233270,1.2839955626662,1.26086687479015,0.981986940961054,0.989542483660131,0.989542483660131,0.147703549060543,0.728543261424263,0.891247861413364,702.95,30455.3395863717,134594.780267383,0.226274299240058,20.1666485290509
"334",2016,"Troms",1931,"Lenvik",8659940.69696,11707287,1.22930794511588,1.20884798699381,0.983356523315933,1,1,NA,0.803792623521225,0.924595282303995,702.95,12319.4262706594,181158.02372089,0.0680037572591315,6.2875953140739
