"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","catch_runmean","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score","total_tons","catch_prop","fish_score"
1998,"1822","Atlantic cod",377854,"cod.27.1-2",0.74,220000,0.4,460000,0.96,0.657725,0,0.3288625,0.231,"Leirfjord",0.955,130.95,0.00729285987017946,10.2268746645112,0.00071310738709713,0.00023451427808923,6.81593333333333,0.14011287277849,4.10494566383018
1999,"1822","Atlantic cod",283058,"cod.27.1-2",0.74,220000,0.4,460000,0.96,0.262741666666667,0,0.131370833333333,0.735,"Leirfjord",47.987,130.95,0.366452844597175,8.22380253054373,0.0445600247861188,0.00585388758950639,54.0241333333333,0.88825117663464,1.07467764502353
2001,"1822","Atlantic cod",363501,"cod.27.1-2",0.74,220000,0.4,460000,0.707,0.597920833333333,0.0970588235294119,0.347489828431373,142.995,"Leirfjord",88.665,130.95,0.67709049255441,5.57334966477031,0.12148717257673,0.0422155567553004,88.665,1,4.22155567553004
2002,"1822","Atlantic cod",505998,"cod.27.1-2",0.74,220000,0.4,460000,0.655,1,0.25,0.625,122.265,"Leirfjord",88.7725,130.95,0.67791141657121,6.76454968595219,0.100215305976541,0.0626345662353379,88.7725,1,6.26345662353379
2005,"1822","Atlantic cod",615647,"cod.27.1-2",0.74,220000,0.4,460000,0.72,1,0.0588235294117647,0.529411764705882,1.0575,"Leirfjord",41.1385,130.95,0.314154257350134,5.5205201154918,0.056906641181969,0.0301270453316306,47.5333666666667,0.865465732492474,4.7658564415976
2006,"1822","Atlantic cod",602187,"cod.27.1-2",0.74,220000,0.4,460000,0.659,1,0.238235294117647,0.619117647058824,0.093,"Leirfjord",0.393499999999998,130.95,0.0030049637266132,4.59229792817479,0.000654348601421755,0.000405118766468469,8.1125,0.0485053929121724,19.8126313335285
2007,"1822","Atlantic cod",653169,"cod.27.1-2",0.74,220000,0.4,460000,0.453,1,0.844117647058824,0.922058823529412,0.03,"Leirfjord",0.0559999999999983,130.95,0.000427644138984332,4.60993545856511,0.0000927657540605657,0.0000855354820529039,8.90483333333333,0.00628871960920081,17.1231922138487
2013,"1822","Atlantic cod",2645872,"cod.27.1-2",0.74,220000,0.4,460000,0.271,1,1,1,0.045,"Leirfjord",0.0494999999999983,130.95,0.000378006872852221,15.1046429271858,0.0000250258728176799,0.0000250258728176799,11.4361,0.00432839866737772,5.88035394143482
2014,"1822","Atlantic cod",2507946,"cod.27.1-2",0.74,220000,0.4,460000,0.299,1,1,1,0.0735,"Leirfjord",0.0494999999999983,130.95,0.000378006872852221,16.0594070924262,0.0000235380341675561,0.0000235380341675561,11.4353,0.00432870147700526,7.92688462684678
1994,"1822","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.5247,"Leirfjord",0.258433333333333,130.95,0.00197352679139621,3.0420937661597,0.000648739632338013,0.000648739632338013,4.77796666666667,0.0540885592895165,2.09527553153376
1995,"1822","Haddock",208941,"had.27.1-2",0.77,50000,0.35,80000,0.328,1,1,1,0.0266,"Leirfjord",0.258433333333333,130.95,0.00197352679139621,3.0420937661597,0.000648739632338013,0.000648739632338013,4.77796666666667,0.0540885592895165,2.10006514712914
1997,"1822","Haddock",220527,"had.27.1-2",0.77,50000,0.35,80000,0.465,1,0.726190476190476,0.863095238095238,0.224,"Leirfjord",0.0858666666666667,130.95,0.000655721013109329,2.6493601360919,0.000247501653012939,0.000213617498136167,5.8673,0.0146347837449366,4.09945523343411
1998,"1822","Haddock",160426,"had.27.1-2",0.77,50000,0.35,80000,0.46,1,0.738095238095238,0.869047619047619,0.007,"Leirfjord",0.1106,130.95,0.000844597174494082,2.34939648463163,0.000359495376799505,0.000312418601266237,6.81593333333333,0.0162266845332994,4.10494566383018
2005,"1822","Haddock",174816,"had.27.1-2",0.77,50000,0.35,80000,0.436,1,0.795238095238095,0.897619047619048,0.1008,"Leirfjord",0.0406,130.95,0.00031004200076365,3.08364587108965,0.00010054397091132,0.0000902501834132564,47.5333666666667,0.000854136848431383,4.7658564415976
2006,"1822","Haddock",172205,"had.27.1-2",0.77,50000,0.35,80000,0.389,1,0.907142857142857,0.953571428571429,0.014,"Leirfjord",0.0541333333333334,130.95,0.000413389334351534,2.76571598064943,0.000149469192514288,0.000142529551433268,8.1125,0.0066728299948639,19.8126313335285
2013,"1822","Haddock",604134,"had.27.1-2",0.77,50000,0.35,80000,0.164,1,1,1,0.0476,"Leirfjord",0.0541333333333334,130.95,0.000413389334351534,3.93205063333962,0.000105133268337501,0.000105133268337501,11.4361,0.00473354844163075,5.88035394143482
1994,"1822","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,1.1152,"Leirfjord",0.446033333333333,130.95,0.00340613465699376,3.87417625720179,0.000879189389140988,0.000124227367377552,4.77796666666667,0.0933521232881491,2.09527553153376
1995,"1822","Saithe",196889,"pok.27.1-2",0.58,136000,NA,220000,0.372,0.724869047619048,NA,0.724869047619048,0.1013,"Leirfjord",0.446033333333333,130.95,0.00340613465699376,3.87417625720179,0.000879189389140988,0.000637297175183401,4.77796666666667,0.0933521232881491,2.10006514712914
1996,"1822","Saithe",246126,"pok.27.1-2",0.58,136000,NA,220000,0.36,1,NA,1,0.1216,"Leirfjord",0.439266666666667,130.95,0.00335446099019982,4.90991455058444,0.000683201500889772,0.000683201500889772,5.71193333333333,0.0769033252022082,3.43086443095673
1997,"1822","Saithe",245371,"pok.27.1-2",0.58,136000,NA,220000,0.255,1,NA,1,1.0949,"Leirfjord",0.497766666666667,130.95,0.00380119638538883,5.60136145292458,0.000678620085015965,0.000678620085015965,5.8673,0.084837432322647,4.09945523343411
